Stand,Species,DBH,Ht,Age,10yr,,PP_SI(barrett,,a,b,(SI-4.5)=a+b(HT-4.5)
1,PP,14.4,68,59,,3 yr thin,93.4195,,14.307,1.175,
1,PP,15.2,70,66,,3 yr thin,89.298,,10.128,1.14,
1,PP,16.4,75,59,,fresh thin,101.6445,,14.307,1.175,
3,PP,18.9,85,110,0.9,,81.517,,-0.585,0.964,
3,PP,13.4,64,83,0.8,,71.1335,,3.266,1.065,
3,PP,17.5,78,89,,,82.807,,1.72,1.042,
6,PP,19.9,103,119,,,95.9635,,-0.437,0.933,
6,PP,16.2,109,109,,,105.091,,-0.565,0.968,
6,PP,14.5,107,107,,,103.9375,,-0.5,0.975,
6,PP,19.8,119,117,,,111.611,,-0.519,0.94,
7,PP,20,93,75,0.9,,107.7105,,5.949,1.099,
7,PP,19.8,83,58,0.9,,112.107,,14.977,1.18,
7,PP,20.2,102,60,1,,132.231,,13.656,1.17,
7,PP,15,73,63,0.7,,95.362,,11.813,1.154,
7,PP,28,90,122,0.7,,83.067,,-0.264,0.922,
7,PP,18.5,55,72,0.7,,67.859,,7.203,1.112,
9,DF,17.5,85,75,0.8,,,,,,
9,DF,29.1,115,114,0.3,,,,,,
9,DF,23.6,99,82,0.6,,,,,,
10,PP,21.8,74,141,,,,,na,na,
10,DF,11.3,49,34,,,,,,,
10,PP,16.4,70,76,,,81.7835,,5.561,1.095,
10,PP,16.6,79,106,,,76.906,,-0.455,0.978,
10,DF,19.6,77,79,,,,,,,
10,DF,9.3,42,34,,,,,,,
13,PP,15.7,66,127,,,60.365,,0.146,0.906,
13,PP,12.7,73,101,1,,72.623,,-0.103,0.996,
13,DF,17.3,90,127,0.6,,,,,,
13,PP,16.6,81,101,0.7,,80.591,,-0.103,0.996,
14,PP,17.6,93,112,,,88.5915,,-0.603,0.957,
14,PP,16.9,93,93,,,96.248,,0.947,1.026,
14,PP,13.6,50,99,,,50.283,,0.101,1.004,
14,PP,15,73,96,,,74.5065,,0.479,1.015,
14,PP,16.8,83,121,,,76.863,,-0.328,0.926,
14,DF,15.9,97,127,,,,,,,
14,PP,17.4,89,116,,,83.6335,,-0.55,0.943,
15,PP,17,80,91,1.5,,83.879,,1.312,1.034,
15,DF,17.3,95,105,,,,,,,
15,DF,18.5,93,116,,,,,,,
15,DF,17.5,85,104,,,,,,,
15,DF,14,71,64,,,,,,,
16,PP,17.6,78,74,1.5,,91.9235,,6.353,1.103,
16,PP,15.6,73,111,0.5,,69.662,,-0.598,0.96,
16,PP,13.7,47,83,0.6,,52.9885,,3.226,1.065,
16,PP,19.2,84,120,0.6,,77.9695,,-0.386,0.929,
16,PP,19,84,110,1,,80.553,,-0.585,0.964,
16,PP,12.4,62,74,1.5,,74.2755,,6.353,1.103,
17,PP,19.4,73,95,0.4,,74.9265,,0.625,1.019,
17,DF,17.8,74,63,1.2,,,,,,
17,DF,19.4,87,102,0.5,,,,,,
17,PP,16.5,78,124,0.6,,71.708,,-0.118,0.916,
19,PP,16,84,92,1.3,,87.509,,1.124,1.03,
19,DF,15.7,85,94,1.4,,,,,,
19,PP,18,80,134,0.2,,,,na,na,
19,DF,17.4,97,127,0.8,,,,,,
19,PP,22,101,112,1.2,,96.2475,,-0.603,0.957,
23,DF,19.6,85,120,,,,,,,
23,DF,14.2,81,72,,,,,,,
23,PP,17.9,63,112,,,59.8815,,-0.603,0.957,
23,PP,16.4,75,80,,,84.645,,4.146,1.078,
23,PP,16.3,85,107,,,82.4875,,-0.5,0.975,
23,PP,18.3,92,98,,,92.8295,,0.217,1.007,
26,DF,20.5,99,113,0.3,,,,,,
26,DF,15.5,79,120,0.1,,,,,,
26,DF,15.3,72,75,0.5,,,,,,
26,DF,17.5,87,105,0.2,,,,,,
28,PP,17.8,61,71,0.6,,75.2615,,7.651,1.117,
28,PP,22.3,73,110,0.2,,69.949,,-0.585,0.964,
28,PP,28,90,122,0.7,,83.067,,-0.264,0.922,
28,PP,18.5,55,72,0.7,,67.859,,7.203,1.112,
29,PP,15.2,58,75,0.4,,69.2455,,5.949,1.099,
29,PP,17.1,68,74,,,80.8935,,6.353,1.103,
30,DF,15.7,70,73,0.7,,,,,,
30,DF,15.9,69,63,0.7,,,,,,
30,PP,17.6,84,79,,,94.998,,4.479,1.082,
18,DF,21.4,89,95,0.8,,,,,,
18,DF,14.5,94,125,0.4,,,,,,
18,PP,17.7,76,89,1.2,,80.723,,1.72,1.042,
18,PP,6.7,32,104,0.8,,31.2475,,-0.34,0.985,
4,PP,21,90,108,1.4,,86.9845,,-0.536,0.971,
4,PP,16.7,83,117,0.2,,77.771,,-0.519,0.94,
4,PP,22,85,118,0.8,,79.367,,-0.481,0.936,
6,PP,19.1,80,97,,,81.1735,,0.343,1.011,
6,PP,18,80,103,,,78.8995,,-0.27,0.989,
11,DF,16.9,76,72,,,,,,,
11,DF,16.3,65,95,,,,,,,
11,DF,16.3,70,85,,,,,,,
